"letters";"n";"f"
"_";76832;0,17687535250987
"A";35408;0,0815129435869102
"B";5702;0,0131266042796137
"C";11913;0,027424980144342
"D";12332;0,0283895622546819
"E";38444;0,0885021352026428
"F";454;0,0010451557949745
"G";365;0,000840268425475097
"H";8992;0,0207005306352659
"I";22309;0,051357666586093
"J";8196;0,0188680548361477
"K";14466;0,0333022549121171
"L";19485;0,0448565212887185
"M";11927;0,0274572096181958
"N";21295;0,0490233318369649
"O";29675;0,068314974043763
"P";13033;0,0300033380526491
"Q";5;1,15105263763712e-05
"R";16439;0,0378443086202332
"S";19519;0,0449347928680779
"T";19560;0,0450291791843641
"U";13157;0,0302887991067832
"V";13707;0,031554957008184
"W";68;0,000156543158718648
"X";69;0,000158845263993922
"Y";9497;0,0218630937992794
"Z";11536;0,0265570864555636
